i,n,b_age,b_educ_yrs,b_dist_from_city,b_family_size,b_experience
33,400,.59573632,1.3894774,-.28992724,1.1908711,2.0361814
34,400,.54256767,1.6204934,-.334194,.89069211,1.9969391
35,400,.52695215,1.7466246,-.31091779,.90671873,1.9817619
36,400,.39931646,1.528969,-.2289439,1.0650815,2.0565884
37,400,.56478584,1.3841933,-.30197421,.62713695,2.0347328
38,400,.5112232,1.4698026,-.26216111,1.0892483,1.9987667
39,400,.45056117,1.4222724,-.31571397,1.024441,2.0466192
40,400,.40896881,1.5868878,-.25561038,.69039464,2.0555224
41,400,.54086673,1.582325,-.2332263,1.2332075,1.9933345
42,400,.52644396,1.6512587,-.32761696,.95858967,1.959059
43,400,.41824314,1.607072,-.30865136,.8344968,1.9808378
44,400,.51685321,1.4687539,-.34837148,1.1870743,1.9880519
45,400,.51739031,1.3238612,-.35674021,.66194075,1.9961162
46,400,.52056116,1.4295688,-.35584795,1.2437027,1.9921311
47,400,.52190608,1.472639,-.39641225,1.1103109,1.9907923
48,400,.45926881,1.6494105,-.24247365,.74375606,2.0587075
49,400,.47197175,1.4130733,-.32336971,.97988021,2.007941
50,400,.48236582,1.4367808,-.33562139,1.0723584,2.009553
51,400,.50001454,1.6540755,-.23905206,1.0970155,1.9868493
52,400,.50913876,1.7002109,-.30565089,1.0308415,2.1160717
53,400,.51401949,1.6328434,-.28250518,.98831916,2.0243614
54,400,.48914364,1.4874737,-.23242019,.72848392,2.0085835
55,400,.51056731,1.5675844,-.2998662,.91321856,2.0120697
56,400,.47058877,1.6260427,-.25145546,.93107134,1.9497751
57,400,.46747205,1.4764643,-.2341717,1.0782678,2.0403137
58,400,.49734476,1.5532001,-.271108,.96289217,2.0349307
59,400,.49486864,1.6859467,-.28880468,.98992258,2.0030596
60,400,.48001406,1.4751753,-.29449263,.70610803,1.9401572
61,400,.48037159,1.654606,-.27707636,1.1336513,2.059797
62,400,.41842991,1.4529145,-.35917252,.68968844,2.0103374
63,400,.51377815,1.3290311,-.29206178,.72792929,1.9833753
64,400,.55403906,1.5804539,-.32625028,1.1515526,1.942623
65,400,.50479263,1.2611214,-.38168132,1.0356343,2.0027196
66,400,.46251628,1.361403,-.37079418,1.1870137,2.0256574
67,400,.49133894,1.6064155,-.34872764,.81595081,2.0734615
68,400,.53134519,1.6232685,-.25012961,1.0953933,1.9876347
69,400,.4260304,1.4506835,-.3155973,.50086987,2.0063508
70,400,.55510288,1.622812,-.26470274,.78893387,1.9664928
71,400,.4593755,1.3226012,-.30155972,1.3960655,2.0571477
72,400,.47324947,1.6448357,-.25934866,1.0674968,2.034822
73,400,.43447813,1.4336739,-.28316185,.8308273,1.9931664
74,400,.57421178,1.7060267,-.30207014,.80598325,1.9809977
75,400,.50431675,1.3740155,-.30666575,.93253428,2.0320356
76,400,.52193421,1.2258645,-.32761434,.83347875,1.9904034
77,400,.52301925,1.628274,-.31315193,1.2762688,2.0630317
78,400,.49864227,1.4999255,-.25925764,1.5382838,1.9788353
79,400,.46881521,1.6124084,-.26064843,1.1140953,1.9987818
80,400,.5473758,1.574706,-.36056477,.70910805,2.0042791
81,400,.49326009,1.340326,-.27815151,1.0411214,1.9934293
82,400,.48579013,1.4528954,-.27115518,1.1534641,2.0193825
83,400,.51096958,1.6740196,-.35946795,.75420451,1.9636281
84,400,.4852764,1.4982039,-.37478969,1.3593208,2.0037689
85,400,.51517481,1.6368124,-.26374015,.95800197,2.0237968
86,400,.50759488,1.3140657,-.34072551,.91032398,1.9413114
87,400,.52537388,1.6279147,-.30207047,.91789633,1.997384
88,400,.520428,1.439308,-.33559245,1.2250381,1.9644458
89,400,.46616584,1.5311444,-.35128909,.65207899,2.003171
90,400,.51317811,1.5793073,-.25772426,.49782947,1.9336779
91,400,.43949914,1.3170694,-.36765996,.61393189,2.0111368
92,400,.54479253,1.5281205,-.31561854,1.1658441,1.9630916
93,400,.6090337,1.7217171,-.18504758,.87993741,2.0068817
94,400,.48684505,1.6323999,-.2550976,1.0383912,2.0824804
95,400,.47916436,1.6134113,-.26333565,1.2228944,2.031733
96,400,.49926987,1.4402844,-.2631942,1.0686865,1.9780469
97,400,.50090712,1.5717659,-.31577685,.78034061,2.0074279
98,400,.48765954,1.3214178,-.28695437,.69838035,2.0128398
99,400,.46206012,1.468701,-.34194458,.96176422,2.0992777
100,400,.53879613,1.2862651,-.32279894,1.0694722,1.9016708
1,500,.55190343,1.4342356,-.30382288,.86969596,1.9438555
2,500,.5086689,1.471797,-.35182989,1.1686147,1.9863226
3,500,.48719865,1.3687059,-.3498683,1.1223148,2.0214906
4,500,.44775632,1.481884,-.27386624,1.1919276,2.0165777
5,500,.52226591,1.4608736,-.30054173,.75480616,1.9343315
6,500,.48834151,1.5679346,-.30354467,1.2499783,1.9428653
7,500,.49962944,1.7102708,-.26264876,1.0160239,2.0232868
8,500,.45529291,1.2806549,-.37479156,.80030191,2.0538242
9,500,.4093582,1.5561626,-.29683709,1.0729226,2.0218234
10,500,.5144304,1.3033797,-.32007402,1.1420901,2.0394588
11,500,.57166582,1.3820206,-.28926381,1.1557271,1.9801136
12,500,.43272066,1.662896,-.28336743,1.2447622,1.9722018
13,500,.57140082,1.4871265,-.24319857,.8636834,1.9760058
14,500,.47350091,1.2943957,-.29916143,.60180843,2.0177152
15,500,.50211018,1.3990033,-.3210527,.93641061,2.0831017
16,500,.49127126,1.4076219,-.29923782,.88110662,1.9986036
17,500,.50004375,1.69596,-.26908767,.87422687,1.9832519
18,500,.56988531,1.4991156,-.29430723,.96976018,1.9637609
19,500,.49129987,1.6317675,-.2977345,.97587252,2.009486
20,500,.48038581,1.451866,-.36291713,1.5179743,1.9860449
21,500,.49882102,1.5277615,-.30898809,1.0751779,2.0294721
22,500,.40296593,1.5112429,-.26757875,.89776725,2.0207062
23,500,.45755908,1.6180298,-.26607528,.79916584,2.0586421
24,500,.49189669,1.4239775,-.30921802,.85965091,2.0150225
25,500,.43674684,1.4523798,-.24875188,1.0506194,2.0333066
26,500,.49028617,1.2992221,-.35659268,1.1346117,1.9840639
27,500,.50467664,1.5969094,-.25444901,1.1333182,1.9923865
28,500,.50409102,1.4853036,-.2637316,.852323,1.9772707
29,500,.51426119,1.356462,-.22942993,.83105928,2.0317237
30,500,.49309716,1.5625577,-.34339222,.5646407,2.0825613
31,500,.49519065,1.5017042,-.31186149,.70702606,2.0441594
32,500,.53172594,1.5071241,-.25793564,1.1193738,1.997246
33,500,.49655208,1.619496,-.24646707,1.0636121,2.0290775
34,500,.60486364,1.6155254,-.32510298,1.2259347,1.9680051
35,500,.50622028,1.6308569,-.29219094,1.0263209,2.0363262
36,500,.46486536,1.3624257,-.31933448,1.0218679,2.020472
37,500,.52143502,1.5496618,-.30165583,1.0469496,2.0179706
38,500,.48705605,1.355249,-.30170548,.96271557,2.0192938
39,500,.51847184,1.4268509,-.29186508,1.0868913,2.0311778
40,500,.48342133,1.6950504,-.30093023,.97759187,2.0120296
41,500,.48322639,1.5031399,-.26901722,.98259664,2.0194802
42,500,.48919404,1.6349517,-.26845053,1.0101616,1.9813714
43,500,.48313963,1.6703629,-.36332056,1.1256399,2.0489323
44,500,.5009867,1.334301,-.34089723,1.2302257,1.9640176
45,500,.50013632,1.3123393,-.28914136,1.0658693,1.9964067
46,500,.4968169,1.6356266,-.26890615,1.315461,2.0005643
47,500,.45883653,1.4753479,-.30768371,.86869425,2.0188391
48,500,.54231042,1.3311265,-.3010878,.90866524,2.0011811
49,500,.54302168,1.3757818,-.30297717,1.0741184,1.9903979
50,500,.51063913,1.3926004,-.29918149,1.0163709,2.0059471
51,500,.50989109,1.5627126,-.31068963,.95430005,2.0502088
52,500,.47993651,1.5754006,-.28072655,1.145745,2.0135763
53,500,.36789843,1.6481227,-.24371868,1.2690817,2.0914931
54,500,.50692904,1.5514369,-.28692549,1.2652072,2.0015788
55,500,.56966722,1.3116016,-.32741183,1.0281365,2.0726194
56,500,.57859212,1.3863658,-.31648728,.9468838,2.0185952
57,500,.4543567,1.3863137,-.28376681,1.2126549,2.0067472
58,500,.50187975,1.5156019,-.29171732,1.0535747,1.9574049
59,500,.47688341,1.4609582,-.30251944,.87990302,2.0058382
60,500,.47470957,1.6218791,-.32144585,1.0694677,2.0019436
61,500,.44191226,1.4533266,-.29730061,.86770129,2.0627263
62,500,.48845217,1.3026295,-.30431551,.82501751,1.9697688
63,500,.47771528,1.5767833,-.28043148,1.1306397,2.0232387
64,500,.48844704,1.3370789,-.31300896,.785541,1.9602703
65,500,.50699413,1.41142,-.29726979,1.0035632,2.0183771
66,500,.47944334,1.4413681,-.31053606,1.2627975,1.9853699
67,500,.53267628,1.2888666,-.32857299,.94907135,1.960426
68,500,.47191599,1.5283251,-.23977035,.95832777,2.0075502
69,500,.49964494,1.3074906,-.30782396,.91162622,1.967575
70,500,.50190264,1.7574171,-.24758378,1.1509058,1.9847611
71,500,.51810342,1.5139011,-.24147798,.88260388,1.9728608
72,500,.47865075,1.4940646,-.29785511,.54273134,1.9884965
73,500,.47728199,1.5775272,-.2199683,1.0519331,2.0074329
74,500,.4923867,1.4329978,-.29466623,1.2538549,1.9939837
75,500,.52432173,1.4640793,-.32889879,1.5103902,2.0110192
76,500,.48338121,1.2683192,-.39257491,.67790449,1.9609067
77,500,.55188531,1.4785582,-.28392026,1.0205013,1.9821725
78,500,.51210171,1.4185911,-.31181121,.94110101,1.9019626
79,500,.48341301,1.4704947,-.28868049,1.0243644,1.9674495
80,500,.45127505,1.5358387,-.31839192,.99167162,1.9557801
81,500,.48441681,1.6203954,-.27672753,1.0850101,2.0419865
82,500,.45777941,1.5761249,-.32963219,1.2128314,1.980485
83,500,.48164922,1.5278054,-.2971696,1.1557668,2.0413148
84,500,.57247138,1.4539833,-.30693859,1.1427895,2.0167096
85,500,.59162629,1.4339205,-.30633149,1.2239192,2.074687
86,500,.44615698,1.504999,-.27769455,1.2815735,2.0106289
87,500,.59575248,1.5726601,-.28925315,.87405545,1.9960408
88,500,.50579214,1.3354917,-.33405626,.87856859,2.0324955
89,500,.60721868,1.5883284,-.24896482,1.0627697,1.910802
90,500,.50546354,1.4169499,-.30954674,.9818877,2.0055237
91,500,.42222679,1.5577203,-.26885056,1.0189135,1.9815888
92,500,.51763648,1.6582841,-.31609043,.95679045,2.0112827
93,500,.52626401,1.4032032,-.3178958,1.1310749,2.03299
94,500,.4797872,1.4343973,-.30664921,.6461584,2.0437443
95,500,.48083216,1.5914433,-.28748831,.93326283,1.9698131
96,500,.50177807,1.4696958,-.33195168,.69542664,1.9739327
97,500,.49160272,1.5957242,-.29749617,1.2512158,2.021992
98,500,.53204727,1.3399646,-.33399519,1.0925221,1.943259
99,500,.45122877,1.7800521,-.23650998,1.1799717,2.0014212
100,500,.5274772,1.199726,-.34363073,.80387563,1.9910113
